#node	date	numeric date
NODE_0000065	1909-12-16	1909.957590
NODE_0000066	1926-04-24	1926.310589
ON014603.1_NADL-8_1976	1976-01-01	1976.000000
NODE_0000067	1940-05-11	1940.360373
NODE_0000068	1956-01-22	1956.060033
MW711828.1_18KWB04_2018	2018-01-01	2018.000000
NODE_0000069	1960-11-13	1960.867759
PQ757588.1_PPV1-BelWB57_2023	2023-01-01	2023.000000
MW711833.1_18BKWB71_2018	2018-01-01	2018.000000
NODE_0000070	1952-02-04	1952.094502
MH447545.1_PPV1-KF4_2017	2017-01-01	2017.000000
NODE_0000071	1959-04-08	1959.266721
NODE_0000072	1984-10-17	1984.792720
JN872448.1_PPV2010_2010	2010-01-01	2010.000000
EU790641.1_BQ_2006	2006-01-01	2006.000000
NODE_0000073	1967-05-12	1967.361267
ON014659.1_1844-1_2015	2015-01-01	2015.000000
OP377055.1_PPV1KUIP22-5_2016	2016-01-01	2016.000000
NODE_0000074	1922-04-26	1922.316559
NODE_0000075	1956-11-15	1956.873407
MW711831.1_18BKWB23_2018	2018-01-01	2018.000000
KM268633.1_16WS_2013	2013-01-01	2013.000000
NODE_0000076	1927-03-24	1927.224946
NODE_0000077	1946-01-01	1946.001037
NODE_0000078	1963-07-01	1963.496643
OP377054.1_PPV1KUIP22-6_2016	2016-01-01	2016.000000
MH447546.1_PPV1-KF5_2017	2017-01-01	2017.000000
NODE_0000079	1953-08-15	1953.621747
NODE_0000080	1980-10-23	1980.810083
OR435325.1_YN202112-3_2021	2021-01-01	2021.000000
PQ328182.1_GDCZ2023-2622_2023	2023-01-01	2023.000000
NODE_0000081	1958-07-12	1958.527502
NODE_0000082	1978-02-23	1978.146483
MT846930.1_17KWB27_2017	2017-01-01	2017.000000
OP377058.1_PPV1KUIP22-2_2016	2016-01-01	2016.000000
NODE_0000083	1968-08-08	1968.601376
GD2-0926-K_2023	2023-01-01	2023.000000
JN860197.1_YL_2012	2012-01-01	2012.000000
NODE_0000084	1932-08-22	1932.641049
NODE_0000085	1949-04-28	1949.322933
MT846928.1_17KWB07_2017	2017-01-01	2017.000000
NODE_0000086	1955-09-25	1955.734097
NODE_0000087	1965-03-18	1965.209797
PQ757581.1_PPV1-MosWB27_2023	2023-01-01	2023.000000
NODE_0000088	1990-02-07	1990.101995
MH447550.1_PPV1-KF9_2017	2017-01-01	2017.000000
MH447547.1_PPV1-KF6_2017	2017-01-01	2017.000000
NODE_0000089	1968-02-12	1968.115377
MZ577026.1_JSYZ20170418-30_2017	2017-01-01	2017.000000
NODE_0000090	1996-09-13	1996.700321
MH566237.1_N108_2018	2018-01-01	2018.000000
MH817778.1_N91_2018	2018-01-01	2018.000000
NODE_0000091	1943-08-11	1943.610911
NODE_0000092	1974-05-26	1974.399340
MN326132.1_HuB13-2014_2014	2014-01-01	2014.000000
KP245936.1_77_2014	2014-01-01	2014.000000
NODE_0000093	1958-03-11	1958.191700
OR435313.1_AH202205-1_2022	2022-01-01	2022.000000
NODE_0000094	1979-03-03	1979.169265
PPV1-0306-D1-GZ_2022	2022-01-01	2022.000000
NODE_0000095	1992-02-07	1992.101855
PPV1-0515-G-HN_2022	2022-01-01	2022.000000
NODE_0000096	2017-03-04	2017.171215
OQ773661.1_PPV1-0303-M-HN_2022	2022-01-01	2022.000000
OQ750579.1_PPV1-0225-L-SD_2022	2022-01-01	2022.000000
NODE_0000097	1854-04-06	1854.261489
NODE_0000098	1870-07-30	1870.576959
NODE_0000099	1914-01-02	1914.003649
OR435322.1_JS202206-1_2022	2022-01-01	2022.000000
NODE_0000100	1933-04-29	1933.325441
NODE_0000101	1948-02-05	1948.096096
OR435316.1_GD202205-4_2022	2022-01-01	2022.000000
NODE_0000102	1960-08-19	1960.632267
OR667252.1_PPV.HCM.001_2021	2021-01-01	2021.000000
NODE_0000103	1976-05-30	1976.412390
OR667250.1_PPV.BG.002_2021	2021-01-01	2021.000000
OR667251.1_PPV.DN.001_2021	2021-01-01	2021.000000
NODE_0000104	1948-08-30	1948.663300
OR435323.1_SD202207-1_2022	2022-01-01	2022.000000
NODE_0000105	1952-01-16	1952.041196
NODE_0000106	1993-08-22	1993.640886
MT500553.1_PPV1_P23-HaTinh_2017	2017-01-01	2017.000000
MT500552.1_PPV1_P6-HoaBinh_2016	2016-01-01	2016.000000
NODE_0000107	1958-11-10	1958.857998
OR435324.1_SX202201-1_2022	2022-01-01	2022.000000
NODE_0000108	1968-09-07	1968.683709
V24-0826-2_2024	2024-01-01	2024.000000
OR435315.1_FJ202207-2_2022	2022-01-01	2022.000000
NODE_0000109	1873-12-11	1873.942888
NODE_0000110	1936-04-21	1936.305189
MW711830.1_17BKWB11_2017	2017-01-01	2017.000000
NODE_0000111	1948-12-08	1948.936329
MT846931.1_17KWB28_2017	2017-01-01	2017.000000
NODE_0000112	1970-09-28	1970.741125
MW711829.1_18KWB13_2018	2018-01-01	2018.000000
MT846929.1_17KWB26_2017	2017-01-01	2017.000000
NODE_0000113	1890-08-24	1890.644859
NODE_0000114	1914-08-06	1914.595650
NODE_0000115	1971-11-09	1971.856414
MZ577027.1_SDQD20200424-830_2020	2020-01-01	2020.000000
JX992846.1_HN-2011_2008	2008-01-01	2008.000000
NODE_0000116	1922-12-06	1922.929882
NODE_0000117	1949-07-08	1949.517622
MF084999.1_JS_2008	2008-01-01	2008.000000
KJ201927.1_HNAY_2009	2009-01-01	2009.000000
NODE_0000118	1954-10-26	1954.818797
ON924737.1_SDPV1_2021	2021-01-01	2021.000000
NODE_0000119	1979-10-18	1979.795773
ON924739.1_SDPV3_2021	2021-01-01	2021.000000
ON924738.1_SDPV2_2021	2021-01-01	2021.000000
NODE_0000120	1910-09-02	1910.669495
NODE_0000121	1936-12-23	1936.975882
KF429253.1_HN-H_2012	2012-01-01	2012.000000
NODE_0000122	1953-05-12	1953.360231
NODE_0000123	1967-04-27	1967.320459
HM989009.1_N_1989	1989-01-01	1989.000000
DQ675456.1_SR-1_2006	2006-01-01	2006.000000
NODE_0000124	1972-12-15	1972.953563
KF429252.1_HN-G_2012	2012-01-01	2012.000000
KF742500.2_J-PPV_2013	2013-01-01	2013.000000
NODE_0000125	1928-02-16	1928.127727
EF212027.1_N_2007	2007-01-01	2007.000000
NODE_0000126	1937-12-07	1937.933753
AY583318.1_China_2004	2004-01-01	2004.000000
NODE_0000127	1945-08-21	1945.638089
NODE_0000128	1961-05-07	1961.347674
NODE_0000129	1964-06-07	1964.433875
JN968975.1_JT_2010	2010-01-01	2010.000000
MK993540.1_China-XY_2017	2017-01-01	2017.000000
NODE_0000130	1974-09-26	1974.736618
KF429254.1_HN-I_2013	2013-01-01	2013.000000
KX242359.1_GD2013_2013	2013-01-01	2013.000000
NODE_0000131	1952-10-25	1952.816045
NODE_0000132	1956-04-17	1956.294359
NC_001718.1_NADL-2_1964	1964-01-01	1964.000000
NODE_0000133	1965-03-03	1965.167308
KF429255.1_HN-K_2013	2013-01-01	2013.000000
OR204673.1_LP-CC7_2015	2015-01-01	2015.000000
NODE_0000134	2014-10-10	2014.774741
D5-0117-G_2024	2024-01-01	2024.000000
NODE_0000135	2016-09-19	2016.716349
GD13-1117-G_2023	2023-01-01	2023.000000
HB44-0910-Q_2023	2023-01-01	2023.000000
NODE_0000136	1886-05-26	1886.398526
NODE_0000137	1941-08-21	1941.638295
JQ249923.1_WB-754_2011	2011-01-01	2011.000000
NODE_0000138	1991-12-14	1991.952810
PQ213030.1_ABT2024L17_2021	2021-01-01	2021.000000
PQ282428.1_PPV1K43ABT2024_2023	2023-01-01	2023.000000
NODE_0000139	1898-04-23	1898.309239
NODE_0000140	1938-01-18	1938.049068
PP855497.1_HUN_1_2020	2020-01-01	2020.000000
NODE_0000141	1951-12-12	1951.945794
PQ757583.1_PPV1-TvWB32_2023	2023-01-01	2023.000000
NODE_0000142	1974-06-09	1974.437462
ON014681.1_2003-6_2021	2021-01-01	2021.000000
MN326130.1_JL12-2016_2016	2016-01-01	2016.000000
NODE_0000143	1906-10-28	1906.823509
NODE_0000144	1953-10-02	1953.751068
NODE_0000145	2001-11-02	2001.836678
OR452191.1_SDLC202109_2021	2021-01-01	2021.000000
OR452190.1_HLJ202108-Y_2021	2021-01-01	2021.000000
NODE_0000146	1964-07-14	1964.533683
ON014616.1_PS950_2021	2021-01-01	2021.000000
NODE_0000147	1977-08-18	1977.628924
MN326129.1_PPV1-HuB78-2017_2017	2017-01-01	2017.000000
PPV1-0608-H2-GS_2022	2022-01-01	2022.000000
NODE_0000148	1910-06-14	1910.449507
